name,calories,cholesterol,folic_acid,vitamin_c,vitamin_d,calcium,iron,protein,carbohydrate,fiber,sugars,fat
"Hominy, white, canned",72,0.0,0.0,0.0,0.0,10.0,0.62,1.48,14.26,2.5,1.82,0.88
"Game meat, raw, moose",102,59.0,0.0,4.0,0.0,5.0,3.21,22.24,0.0,0.0,0.0,0.74
"Pears, red anjou, raw",62,0.0,0.0,5.2,0.0,11.0,0.19,0.33,14.94,3.0,9.54,0.14
"Horseradish, prepared",48,0.0,0.0,24.9,0.0,56.0,0.42,1.18,11.29,3.3,7.99,0.69
"Fish, raw, butterfish",146,65.0,0.0,0.0,0.0,22.0,0.5,17.28,0.0,0.0,0.0,8.02
"Lebanon bolona, beef",172,55.0,0.0,0.9,10.0,20.0,2.15,19.03,0.44,0.0,0.0,10.44
Ham and cheese spread,245,61.0,0.0,0.0,0.0,217.0,0.76,16.18,2.28,0.0,0.0,18.53
"TACO BELL, Taco Salad",170,19.0,16.0,0.0,0.0,95.0,1.77,6.69,15.1,3.0,0.0,9.17
"Sauce, worcestershire",78,0.0,0.0,13.0,0.0,107.0,5.3,0.0,19.46,0.0,10.03,0.0
"Candies, marshmallows",318,0.0,0.0,0.0,0.0,3.0,0.23,1.8,81.3,0.1,57.56,0.2
"Hummus, home prepared",177,0.0,0.0,7.9,0.0,49.0,1.56,4.86,20.12,4.0,0.27,8.59
Horned melon (Kiwano),44,0.0,0.0,5.3,0.0,13.0,1.13,1.78,7.56,0.0,0.0,1.26
Ice cream sundae cone,254,15.0,14.0,0.0,4.0,60.0,0.36,3.0,28.89,1.0,21.26,14.0
"Peppers, raw, serrano",32,0.0,0.0,44.9,0.0,11.0,0.86,1.74,6.7,3.7,3.83,0.44
"Cabbae, cooked, napa",12,0.0,0.0,3.2,0.0,29.0,0.74,1.1,2.23,0.0,0.0,0.17
"Peppers, dried, ancho",281,0.0,0.0,2.0,0.0,61.0,10.93,11.86,51.42,21.6,0.0,8.2
